Model,Score
Midjourney,2
Midjourney,2
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,1
Midjourney,0
Midjourney,1
Midjourney,1
Midjourney,2
Midjourney,1
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,2
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,2
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,1
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,2
Midjourney,3
Midjourney,3
Midjourney,2
Midjourney,3
Midjourney,3
Midjourney,2
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,1
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,3
Midjourney,1
Midjourney,0
Midjourney,1
Midjourney,1
Midjourney,3
Midjourney,1
Midjourney,3
Midjourney,0
Midjourney,3
Midjourney,1
Midjourney,3
Dalle,3
Dalle,3
Dalle,3
Dalle,3
Dalle,3
Dalle,3
Dalle,2
Dalle,3
Dalle,3
Dalle,3
Dalle,3
Dalle,1
Dalle,1
Dalle,3
Dalle,2
Dalle,3
Dalle,3
Dalle,3
Dalle,1
Dalle,1
Dalle,3
Dalle,3
Dalle,2
Dalle,2
Dalle,1
Dalle,3
Dalle,1
Dalle,3
Dalle,1
Dalle,1
Dalle,2
